calle_nombre,calle_altura,comuna,total_arboles,maduros,medianos,jovenes,lat,long
24 de Noviembre,1900,4,17,2,14,1,-34.634172,-58.40942
24 de Noviembre,200,3,15,5,8,2,-34.613606,-58.411424
24 de Noviembre,2000,4,28,1,25,2,-34.635075,-58.409287
24 de Noviembre,2100,4,1,0,1,0,-34.636577,-58.409212
24 de Noviembre,2200,4,14,6,8,0,-34.637152,-58.409088
24 de Noviembre,300,3,31,4,19,8,-34.614218,-58.411261
24 de Noviembre,3100,3,1,1,0,0,,
24 de Noviembre,400,3,28,2,16,10,-34.616035,-58.411072
24 de Noviembre,500,3,45,9,34,2,-34.617498,-58.411024
24 de Noviembre,600,3,12,1,8,3,-34.618522,-58.411054
24 de Noviembre,700,3,23,6,15,2,-34.619639,-58.410909
24 de Noviembre,800,3,26,3,18,5,-34.621015,-58.410772
24 de Noviembre,900,3,23,11,12,0,-34.622187,-58.410666
25 de Mayo,100,1,9,0,0,9,-34.605821,-58.370947
25 de Mayo,200,1,5,0,0,5,-34.604884,-58.371007
25 de Mayo,300,1,14,0,0,14,-34.60374,-58.371093
25 de Mayo,400,1,7,0,0,7,-34.602427,-58.371181
27 de Febrero Av.,0,8,9,0,8,1,,
27 de Febrero Av.,3300,8,385,0,317,68,,
27 de Febrero Av.,5300,4,56,5,43,8,-34.661114,-58.422943
3 de Febrero,1000,14,14,11,0,3,-34.569029,-58.443352
3 de Febrero,1100,14,17,8,4,5,-34.568332,-58.444223
3 de Febrero,1200,14,21,17,3,1,-34.567632,-58.444919
3 de Febrero,1221,1,1,0,0,1,-34.568037,-58.444654
3 de Febrero,1300,14,29,24,4,1,-34.566467,-58.445919
3 de Febrero,1400,13,25,19,2,4,-34.565435,-58.446801
3 de Febrero,1500,13,28,23,1,4,-34.564276,-58.447779
3 de Febrero,1600,13,28,23,1,4,-34.563526,-58.448431
3 de Febrero,1700,13,17,1,15,1,-34.562561,-58.449262
3 de Febrero,1800,13,22,16,0,6,-34.561684,-58.450046
3 de Febrero,1900,13,24,3,11,10,-34.560898,-58.450714
3 de Febrero,2000,13,18,0,15,3,-34.559784,-58.45168
3 de Febrero,2100,13,16,0,13,3,-34.558842,-58.452488
